index,dsp time,sfn,Adjustment value
87,10984.661762139,2437,-16
88,10984.676725154,2452,-17
89,10984.681728240,2457,-17
90,10984.711731944,2487,-17
91,10984.716751646,2492,-18
92,10984.721741820,2497,-18
93,10984.726759002,2502,-18
94,10984.731743209,2507,-18
95,10984.761702932,2537,-18
96,10984.796703652,2572,-18
97,10984.801727623,2577,-19
98,10984.806739300,2582,-19
99,10984.811742746,2587,-19
100,10984.816737860,2592,-19
101,10984.841701543,2617,-19
102,10984.886776440,2662,-19
103,10984.891716872,2667,-19
104,10984.896727263,2672,-19
105,10984.901750257,2677,-19
106,10984.906734876,2682,-19
107,10984.921700668,2697,-19
108,10984.961758436,2737,-19
109,10984.966744135,2742,-20
110,10984.976710956,2752,-21
111,10984.981740123,2757,-21
112,10984.986729423,2762,-21
113,10985.001742438,2777,-21
114,10985.036729989,2812,-21
115,10985.041752726,2817,-22
116,10985.046715534,2822,-22
117,10985.051747067,2827,-22
118,10985.056703909,2832,-22
119,10985.061722170,2837,-22
120,10985.081706224,2857,-22
121,10985.111745936,2887,-22
122,10985.121777160,2897,-23
123,10985.126766100,2902,-24
124,10985.136738991,2912,-24
125,10985.146742746,2922,-24
126,10985.156704732,2932,-24
127,10985.166729115,2942,-24
128,10985.171748353,2947,-25
129,10985.181766975,2957,-25
130,10985.186727469,2962,-25
131,10985.191740123,2967,-25
132,10985.196733590,2972,-25
133,10985.201700771,2977,-25
134,10985.231749485,3007,-25
135,10985.236712037,3012,-22
136,10985.241743312,3017,-22
137,10985.246747376,3022,-22
138,10985.251734876,3027,-22
139,10985.256737191,3032,-22
140,10985.261776440,3037,-22
141,10985.266749331,3042,-22
142,10985.271774228,3047,-19
143,10985.281690123,3057,-19
144,10985.311731069,3087,-19
145,10985.316763683,3092,-19
146,10985.321753189,3097,-18
147,10985.326738837,3102,-18
148,10985.336706532,3112,-18
149,10985.356764711,3132,-18
150,10985.361771604,3137,-18
151,10985.396718312,3172,-18
152,10985.401716820,3177,-17
153,10985.406775617,3182,-17
154,10985.411764197,3187,-17
155,10985.416708076,3192,-17
156,10985.441711213,3217,-17
157,10985.471792335,3247,-17
158,10985.476711213,3252,-18
159,10985.481738014,3257,-18
160,10985.486728497,3262,-18
161,10985.491732047,3267,-18
162,10985.496732150,3272,-18
163,10985.521687860,3297,-18
164,10985.551734927,3327,-18
165,10985.556726491,3332,-19
166,10985.561738580,3337,-19
167,10985.566753909,3342,-19
168,10985.601743775,3377,-19
169,10985.611723868,3387,-20
170,10985.616708899,3392,-20
171,10985.621728549,3397,-20
172,10985.641688065,3417,-20
173,10985.671699228,3447,-20
174,10985.676735596,3452,-21
175,10985.681774228,3457,-22
176,10985.686744804,3462,-22
177,10985.691722890,3467,-22
178,10985.721691769,3497,-22
179,10985.751752829,3527,-22
180,10985.756710133,3532,-23
181,10985.761708950,3537,-23
182,10985.766746862,3542,-23
183,10985.796750257,3572,-23
184,10985.801769084,3577,-24
185,10985.806737037,3582,-24
186,10985.816736059,3592,-24
187,10985.821728806,3597,-24
188,10985.826727829,3602,-24
189,10985.831743004,3607,-23
190,10985.841689146,3617,-23
191,10985.871794907,3647,-23
192,10985.876717489,3652,-23
193,10985.881732150,3657,-22
194,10985.886733693,3662,-22
195,10985.891729423,3667,-22
196,10985.896740432,3672,-22
197,10985.921734722,3697,-22
198,10985.951743055,3727,-22
199,10985.961756893,3737,-21
200,10985.966774125,3742,-21
201,10985.971724691,3747,-21
202,10985.976747479,3752,-21
203,10985.981729166,3757,-21
204,10986.001688734,3777,-21
205,10986.031740020,3807,-21
206,10986.036781327,3812,-20
207,10986.041754629,3817,-19
208,10986.046752109,3822,-19
209,10986.051708641,3827,-19
210,10986.056748662,3832,-19
211,10986.081716615,3857,-19
212,10986.111732510,3887,-19
213,10986.116731584,3892,-18
214,10986.121705967,3897,-18
215,10986.126746656,3902,-18
216,10986.156727674,3932,-18
217,10986.161757253,3937,-19
218,10986.201746296,3977,-19
219,10986.206754115,3982,-20
220,10986.211748713,3987,-20
221,10986.216723045,3992,-20
222,10986.221716923,3997,-20
223,10986.241661265,4017,-20
224,10986.271737500,4047,-20
225,10986.276707304,4052,-21
226,10986.281727623,4057,-21
227,10986.286724537,4062,-21
228,10986.321770473,4097,-21
229,10986.356716152,4132,-22
230,10986.361670216,4137,-23
231,10986.366743158,4142,-23
232,10986.401764609,4177,-23
233,10986.406757716,4182,-24
234,10986.436726903,4212,-24
235,10986.441698199,4217,-24
236,10986.446735442,4222,-24
237,10986.481730298,4257,-24
238,10986.491744495,4267,-24
239,10986.496759362,4272,-24
240,10986.501740483,4277,-24
241,10986.506727726,4282,-24
242,10986.521759156,4297,-24
243,10986.556733024,4332,-23
244,10986.561767438,4337,-20
245,10986.571725411,4347,-20
246,10986.576764248,4352,-20
247,10986.581771193,4357,-20
248,10986.586724537,4362,-20
249,10986.601694495,4377,-20
250,10986.631712294,4407,-20
251,10986.636738528,4412,-19
252,10986.641760133,4417,-19
253,10986.646729629,4422,-19
254,10986.651729218,4427,-19
255,10986.681697273,4457,-19
256,10986.711754320,4487,-19
257,10986.716735030,4492,-18
258,10986.721712242,4497,-18
259,10986.726774176,4502,-18
260,10986.736719753,4512,-18
261,10986.761750154,4537,-18
262,10986.766722067,4542,-19
263,10986.771746862,4547,-19
264,10986.781717849,4557,-19
265,10986.786731069,4562,-19
266,10986.791739609,4567,-19
267,10986.796721244,4572,-19
268,10986.801687345,4577,-19
269,10986.831743004,4607,-19
270,10986.836715946,4612,-20
271,10986.841726646,4617,-20
272,10986.846717129,4622,-20
273,10986.851730504,4627,-20
274,10986.881720936,4657,-20
275,10986.911752109,4687,-20
276,10986.916731018,4692,-21
277,10986.921775102,4697,-21
278,10986.926786471,4702,-21
279,10986.936739814,4712,-21
280,10986.956739197,4732,-21
281,10986.961725154,4737,-22
282,10986.996734927,4772,-22
283,10987.001751748,4777,-22
284,10987.006756584,4782,-22
285,10987.011749897,4787,-22
286,10987.041712139,4817,-22
287,10987.071765483,4847,-22
288,10987.076723713,4852,-23
289,10987.081715020,4857,-23
290,10987.086730298,4862,-23
291,10987.096708796,4872,-23
292,10987.101736265,4877,-23
293,10987.121764197,4897,-23
294,10987.126746399,4902,-22
295,10987.156742026,4932,-22
296,10987.161746193,4937,-22
297,10987.166725411,4942,-22
298,10987.171721141,4947,-21
299,10987.176726440,4952,-21
300,10987.181718775,4957,-21
301,10987.201679681,4977,-21
302,10987.231715843,5007,-21
303,10987.236729166,5012,-20
304,10987.241762448,5017,-20
305,10987.256741666,5032,-20
306,10987.276719393,5052,-20
307,10987.286726131,5062,-19
308,10987.291738065,5067,-19
309,10987.296742129,5072,-19
310,10987.301747325,5077,-19
311,10987.306747325,5082,-19
312,10987.311728652,5087,-19
313,10987.316739609,5092,-19
314,10987.321679012,5097,-19
315,10987.351732304,5127,-19
316,10987.356721502,5132,-18
317,10987.361760545,5137,-18
318,10987.366732664,5142,-18
319,10987.371759516,5147,-19
320,10987.376733436,5152,-19
321,10987.401699176,5177,-19
322,10987.431759979,5207,-19
323,10987.436729012,5212,-20
324,10987.441736368,5217,-20
325,10987.446731378,5222,-20
326,10987.481747119,5257,-20
327,10987.486747839,5262,-21
328,10987.516731532,5292,-21
329,10987.521730709,5297,-21
330,10987.526715843,5302,-21
331,10987.531726183,5307,-21
332,10987.561685699,5337,-21
333,10987.591723148,5367,-21
334,10987.596737139,5372,-22
335,10987.601697222,5377,-22
336,10987.606752983,5382,-22
337,10987.636722119,5412,-22
338,10987.641737037,5417,-23
339,10987.676727880,5452,-23
340,10987.681702623,5457,-23
341,10987.686722993,5462,-23
342,10987.691751388,5467,-23
343,10987.721691718,5497,-23
344,10987.751736574,5527,-23
345,10987.756722736,5532,-22
346,10987.761742644,5537,-22
347,10987.766750411,5542,-22
348,10987.776729835,5552,-22
349,10987.801726851,5577,-22
350,10987.811722016,5587,-21
351,10987.816719393,5592,-21
352,10987.821735699,5597,-21
353,10987.826722427,5602,-21
354,10987.841730761,5617,-21
355,10987.871738786,5647,-21
356,10987.876729423,5652,-20
357,10987.881742901,5657,-20
358,10987.886719958,5662,-20
