index,dsp time,sfn,TX PWR value
230,10986.361671553,4137,-113
231,10986.366744495,4142,-112
232,10986.401765843,4177,-113
233,10986.406758899,4182,-113
234,10986.436728189,4212,-113
235,10986.441699691,4217,-114
236,10986.446736831,4222,-113
237,10986.481731481,4257,-113
238,10986.491745730,4267,-114
239,10986.496760493,4272,-113
240,10986.501741615,4277,-113
241,10986.506728909,4282,-113
242,10986.521760493,4297,-112
243,10986.556734156,4332,-109
244,10986.561768621,4337,-109
245,10986.571726646,4347,-110
246,10986.576765380,4352,-109
247,10986.581772325,4357,-109
248,10986.586725720,4362,-109
249,10986.601695833,4377,-110
250,10986.631713425,4407,-109
251,10986.636739711,4412,-108
252,10986.641761316,4417,-108
253,10986.646731172,4422,-108
254,10986.651730606,4427,-109
255,10986.681698611,4457,-109
256,10986.711755504,4487,-108
257,10986.716736162,4492,-107
258,10986.721713425,4497,-107
259,10986.726775360,4502,-107
260,10986.736721347,4512,-107
261,10986.761751286,4537,-108
262,10986.766723251,4542,-108
263,10986.771748045,4547,-108
264,10986.781719032,4557,-108
265,10986.786732253,4562,-108
266,10986.791740792,4567,-108
267,10986.796722942,4572,-108
268,10986.801689043,4577,-109
269,10986.831744135,4607,-110
270,10986.836717078,4612,-109
271,10986.841727777,4617,-109
272,10986.846718261,4622,-109
273,10986.851731841,4627,-109
274,10986.881722273,4657,-110
275,10986.911753292,4687,-111
276,10986.916732201,4692,-110
277,10986.921776748,4697,-110
278,10986.926788168,4702,-110
279,10986.936741203,4712,-110
280,10986.956740380,4732,-111
281,10986.961726388,4737,-111
282,10986.996736111,4772,-111
283,10987.001752932,4777,-111
284,10987.006757767,4782,-111
285,10987.011751337,4787,-111
286,10987.041713528,4817,-112
287,10987.071766666,4847,-113
288,10987.076724897,4852,-112
289,10987.081716152,4857,-112
290,10987.086731430,4862,-112
291,10987.096709979,4872,-112
292,10987.101737448,4877,-112
293,10987.121765534,4897,-111
294,10987.126747736,4902,-111
295,10987.156743209,4932,-111
296,10987.161747376,4937,-111
297,10987.166726543,4942,-110
298,10987.171722273,4947,-110
299,10987.176727777,4952,-110
300,10987.181719907,4957,-110
301,10987.201681069,4977,-111
302,10987.231716975,5007,-110
303,10987.236730349,5012,-109
304,10987.241763580,5017,-109
305,10987.256742849,5032,-109
306,10987.276720781,5052,-108
307,10987.286727314,5062,-108
308,10987.291739609,5067,-109
309,10987.296743312,5072,-108
310,10987.301748508,5077,-108
311,10987.306748456,5082,-108
312,10987.311729783,5087,-108
313,10987.316740792,5092,-108
314,10987.321680349,5097,-109
315,10987.351733487,5127,-108
316,10987.356723045,5132,-107
317,10987.361761676,5137,-107
318,10987.366733899,5142,-108
319,10987.371760751,5147,-109
320,10987.376734619,5152,-108
321,10987.401700514,5177,-109
322,10987.431761162,5207,-110
323,10987.436730195,5212,-109
324,10987.441737500,5217,-109
325,10987.446732870,5222,-109
326,10987.481748251,5257,-110
327,10987.486749022,5262,-110
328,10987.516732818,5292,-110
329,10987.521731841,5297,-110
330,10987.526717438,5302,-110
331,10987.531727572,5307,-111
332,10987.561687088,5337,-111
333,10987.591724331,5367,-112
334,10987.596738477,5372,-111
335,10987.601698559,5377,-112
336,10987.606754372,5382,-111
337,10987.636723302,5412,-112
338,10987.641738220,5417,-112
339,10987.676729012,5452,-112
340,10987.681703806,5457,-112
341,10987.686724331,5462,-112
342,10987.691752777,5467,-113
343,10987.721693055,5497,-113
344,10987.751737860,5527,-112
345,10987.756724074,5532,-111
346,10987.761744187,5537,-111
347,10987.766751748,5542,-111
348,10987.776731018,5552,-111
349,10987.801728446,5577,-110
350,10987.811723199,5587,-110
351,10987.816720576,5592,-110
352,10987.821736985,5597,-110
353,10987.826723559,5602,-110
354,10987.841732150,5617,-111
355,10987.871739969,5647,-110
356,10987.876730606,5652,-109
357,10987.881744084,5657,-109
358,10987.886721141,5662,-109
359,10987.891752469,5667,-109
360,10987.896697376,5672,-108
361,10987.901725102,5677,-108
362,10987.921670576,5697,-109
363,10987.951740123,5727,-108
364,10987.956736779,5732,-107
365,10987.961811059,5737,-107
366,10987.966756944,5742,-107
367,10987.971764814,5747,-107
368,10987.976702160,5752,-107
369,10987.981711471,5757,-107
370,10987.986763734,5762,-107
371,10987.991714351,5767,-107
372,10988.001690843,5777,-108
373,10988.031741820,5807,-109
374,10988.036738271,5812,-108
375,10988.041765483,5817,-108
376,10988.046756584,5822,-109
377,10988.051726388,5827,-109
378,10988.056727777,5832,-109
379,10988.061740946,5837,-109
380,10988.081694804,5857,-110
381,10988.111734104,5887,-111
382,10988.116727880,5892,-110
383,10988.121751337,5897,-110
384,10988.126740329,5902,-110
385,10988.131693261,5907,-110
386,10988.136721965,5912,-110
387,10988.141710133,5917,-110
388,10988.146719032,5922,-110
389,10988.161674434,5937,-111
390,10988.191728549,5967,-110
391,10988.201780658,5977,-108
392,10988.206769598,5982,-108
393,10988.211758281,5987,-108
394,10988.216734156,5992,-108
395,10988.221739403,5997,-108
396,10988.226808436,6002,-108
397,10988.231772788,6007,-108
398,10988.236748765,6012,-108
399,10988.241699279,6017,-109
400,10988.271746399,6047,-110
401,10988.276759207,6052,-109
402,10988.281725668,6057,-109
403,10988.286730864,6062,-109
404,10988.296727109,6072,-110
405,10988.301778137,6077,-110
406,10988.306733281,6082,-110
407,10988.311734207,6087,-111
408,10988.316770833,6092,-110
409,10988.321738683,6097,-110
410,10988.356719804,6132,-111
411,10988.361754578,6137,-111
412,10988.366712139,6142,-111
413,10988.371692129,6147,-111
414,10988.401666923,6177,-112
415,10988.431701748,6207,-113
416,10988.441757458,6217,-112
417,10988.446708847,6222,-112
418,10988.476725205,6252,-111
419,10988.481740020,6257,-111
420,10988.486729835,6262,-111
421,10988.491745370,6267,-112
422,10988.496722685,6272,-111
423,10988.501696759,6277,-111
424,10988.506751800,6282,-111
425,10988.511747890,6287,-111
426,10988.521682716,6297,-112
427,10988.551690997,6327,-111
428,10988.556760493,6332,-110
429,10988.561704938,6337,-110
430,10988.566717129,6342,-109
431,10988.571721810,6347,-110
432,10988.601721244,6377,-110
433,10988.631729835,6407,-109
434,10988.636722890,6412,-108
435,10988.641698971,6417,-108
436,10988.646719187,6422,-108
437,10988.681742181,6457,-107
438,10988.686718055,6462,-107
439,10988.716723611,6492,-107
440,10988.721691358,6497,-108
441,10988.726715637,6502,-107
442,10988.761745318,6537,-108
443,10988.766727469,6542,-108
444,10988.796725925,6572,-109
445,10988.801712242,6577,-109
446,10988.806714248,6582,-109
447,10988.841755401,6617,-110
448,10988.856704218,6632,-110
449,10988.861731275,6637,-110
450,10988.876717181,6652,-110
451,10988.881715277,6657,-110
452,10988.916722376,6692,-111
453,10988.921737242,6697,-111
454,10988.926732201,6702,-111
455,10988.931697530,6707,-111
456,10988.961683950,6737,-112
457,10988.991713117,6767,-113
458,10988.996734053,6772,-112
459,10989.001717644,6777,-112
460,10989.006719547,6782,-112
461,10989.016757818,6792,-112
462,10989.036727160,6812,-111
463,10989.041716615,6817,-111
464,10989.076717335,6852,-111
465,10989.081744701,6857,-111
466,10989.086746193,6862,-111
467,10989.091695370,6867,-111
468,10989.121672067,6897,-112
469,10989.151685442,6927,-111
470,10989.161729835,6937,-110
471,10989.171751903,6947,-110
472,10989.201708641,6977,-111
473,10989.231714660,7007,-110
474,10989.236762757,7012,-109
475,10989.241700977,7017,-109
476,10989.246721296,7022,-109
477,10989.251708384,7027,-109
478,10989.281694547,7057,-110
479,10989.311722839,7087,-109
480,10989.316738888,7092,-108
481,10989.321712757,7097,-108
482,10989.326704732,7102,-108
483,10989.336712088,7112,-108
484,10989.356745576,7132,-109
485,10989.361710236,7137,-109
486,10989.396717952,7172,-109
487,10989.401721707,7177,-110
488,10989.406735802,7182,-109
489,10989.411721347,7187,-109
490,10989.416700720,7192,-110
491,10989.441696090,7217,-111
492,10989.471725771,7247,-112
493,10989.476712757,7252,-111
494,10989.481706687,7257,-111
495,10989.486711882,7262,-111
496,10989.516736985,7292,-110
497,10989.521738631,7297,-110
498,10989.561783281,7337,-110
499,10989.566721553,7342,-110
500,10989.571710236,7347,-110
501,10989.576701851,7352,-110
502,10989.601677623,7377,-111
503,10989.631711471,7407,-112
504,10989.641715997,7417,-110
505,10989.646730915,7422,-110
506,10989.651728086,7427,-110
507,10989.656725205,7432,-110
508,10989.681705709,7457,-111
509,10989.711707716,7487,-110
510,10989.721710596,7497,-109
511,10989.726709516,7502,-109
512,10989.731696553,7507,-109
